country,epgshare_id,epgshare_name,candidate_tvg_id,candidate_key,score
uk,GINXeSportsTV.uk,GINXeSportsTV,ThatsTV.uk@SD,thatstv,65.45454545454547
uk,TNT.Sports.2.HD.uk,TNT Sports 2 HD,TBNUK.uk@SD,tbn,72.0
uk,HUM.EUROPE.uk,HUM EUROPE,MTA2Europe.uk@SD,mta2europe,73.6842105263158
uk,Virgin.Media.Four.HD.uk,Virgin Media Four HD,BBCFour.uk@UK,bbcfour,65.45454545454547
uk,CHSTV.uk,CHSTV,AutenticHistory.de@SD,autentichistory,72.0
uk,Sky.Witness.HD.uk,Sky Witness HD,SkyMix.uk@HD,skymix,65.45454545454547
uk,WildEarth.uk,WildEarth,WildatHeart.us@UK,wildatheart,80.0
uk,TNT.Sports.5.HD.uk,TNT Sports 5 HD,TBNUK.uk@SD,tbn,72.0
uk,More4.HD.uk,More4 HD,MoreTVCrime.de@GB,moretvcrime,80.0
uk,Virgin.Media.Three.uk,Virgin Media Three,BBCThree.uk@SD,bbcthree,69.23076923076923
uk,Ahlebait.TV.uk,Ahlebait TV,AhlulbaytTV.uk@SD,ahlulbayttv,76.19047619047619
uk,Sky.History2.uk,Sky History2,SkyMix.uk@HD,skymix,65.45454545454547
uk,U.and.W+1.uk,U and W+1,Andromeda.us@UK,andromeda,67.5
uk,Disc.History.uk,Disc.History,AutenticHistory.de@SD,autentichistory,69.23076923076923
uk,MTV.80s.uk,MTV 80s,MUTV.uk@SD,mutv,77.14285714285715
uk,ROK.uk,ROK,MyTimeMovieNetwork.uk@SD,mytimemovienetwork,72.0
uk,More4+1.uk,More4+1,MoreTVCrime.de@GB,moretvcrime,80.0
uk,MATV.National.uk,MATV National,IranInternational.uk@SD,iraninternational,68.96551724137932
uk,LFCTV.HD.uk,LFCTV HD,HellenicTV.uk@SD,hellenictv,67.5
uk,TWR.uk,TWR,TraceUK.uk@HD,trace,72.0
uk,U.and.alibi.HD.uk,U and alibi HD,UAlibi.uk@SD,ualibi,81.81818181818181
uk,Zee.TV.HD.uk,Zee TV HD,DeenTV.uk@SD,deentv,72.72727272727273
uk,Sky.Crime+1.uk,Sky Crime+1,PlutoTVAmericanTrueCrime.de@GB,plutotvamericantruecrime,69.23076923076923
uk,Sky.Witness+1.uk,Sky Witness+1,SkyMix.uk@HD,skymix,65.45454545454547
uk,GOD.Channel.uk,GOD Channel,ChannelS.uk@SD,channels,77.77777777777779
uk,SkyNewsArabia.uk,SkyNewsArabia,SkyNewsWeather.uk@SD,skynewsweather,66.66666666666667
uk,Sikh.Channel.uk,Sikh Channel,ChannelS.uk@SD,channels,73.6842105263158
uk,Arirang.TV.HD.uk,Arirang TV HD,GODTV.uk@SD,godtv,67.5
uk,BBC.6.Music.uk,BBC 6 Music,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,Nick.Jr..HD.uk,Nick Jr. HD,Nickelodeon.uk@SD,nickelodeon,72.0
uk,ITV4+1.uk,ITV4+1,KanshiTV.uk@SD,kanshitv,77.14285714285715
uk,Spotlight.TV.uk,Spotlight TV,ThatsTV.uk@SD,thatstv,65.45454545454547
uk,STV.Central.uk,STV Central,QVCExtra.uk@SD,qvcextra,66.66666666666667
uk,Virgin.Media.One.HD.uk,Virgin Media One HD,TVOne.uk@SD,tvone,67.5
uk,ITV1.HD.uk,ITV1 HD,KanshiTV.uk@SD,kanshitv,77.14285714285715
uk,Browse.Shop.uk,Browse Shop,Pop.uk@SD,pop,72.0
uk,ITV3.HD.uk,ITV3 HD,KanshiTV.uk@SD,kanshitv,77.14285714285715
uk,Really.uk,Really,SoReal.us@UK,soreal,66.66666666666667
uk,BBC.R.Wales.uk,BBC R Wales,BBCOne.uk@Wales,bbconewales,80.0
uk,Clubland.TV.uk,Clubland TV,ClubbingTV.us@UK,clubbingtv,70.0
uk,Sky.Action.HD.uk,Sky Action HD,PlutoTV80sAction.de@GB,plutotv80saction,78.75
uk,B4U.Music.uk,B4U Music,VantageMusic.ee@UK,vantagemusic,69.23076923076923
uk,QUEST.HD.uk,QUEST HD,QwestTVJazzBeyond.fr@SD,qwesttvjazzbeyond,72.0
uk,Travelxp.uk,Travelxp,AutenticTravel.de@SD,autentictravel,77.14285714285715
uk,BBC.R4.Ex.uk,BBC R4 Ex,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,POLITICSPUNJAB.uk,POLITICSPUNJAB,Pop.uk@SD,pop,72.0
uk,U.and.W.HD.uk,U and W HD,Andromeda.us@UK,andromeda,67.5
uk,The.Box.uk,The Box,DogtheBountyHunter.us@UK,dogthebountyhunter,75.00000000000001
uk,QUEST+1.uk,QUEST+1,QwestTVJazzBeyond.fr@SD,qwesttvjazzbeyond,72.0
uk,HGTV.uk,HGTV,ClubbingTV.us@UK,clubbingtv,77.14285714285715
uk,SkyAdventureHD.uk,SkyAdventureHD,AdventureEarth.de@SD,adventureearth,71.42857142857143
uk,Sky.Drama.HD.uk,Sky Drama HD,PlutoTVCrimeDrama.de@GB,plutotvcrimedrama,69.23076923076923
uk,BBC.WS.uk,BBC WS,BBCNews.uk@UK,bbcnews,83.33333333333334
uk,Ideal.Extra.uk,Ideal Extra,TraceUK.uk@HD,trace,67.5
uk,4seven.uk,4seven,HighwaytoHeaven.us@UK,highwaytoheaven,65.45454545454547
uk,Utsav.Gold.HD.uk,Utsav Gold HD,UtsavPlus.uk@SD,utsavplus,66.66666666666667
uk,BBC.RLondon.uk,BBC RLondon,BBCOne.uk@London,bbconelondon,81.81818181818181
uk,Craft.Extra.uk,Craft Extra,TraceUK.uk@HD,trace,67.5
uk,G!.romance+1.uk,G! romance+1,GREATromance.uk@UK,greatromance,84.0
uk,BBC.Radio.Bristol.DAB.uk,BBC Radio Bristol DAB,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,NHK.World.HD.uk,NHK World HD,WorldPokerTour.us@UK,worldpokertour,69.23076923076923
uk,5STAR.uk,5STAR,StarVijay.in@UK,starvijay,80.0
uk,SONY.TV.HD.uk,SONY TV HD,IonTV.uk@SD,iontv,72.72727272727273
uk,Dunamis.TV.uk,Dunamis TV,ITV2.uk@HD,itv2,67.5
uk,Nick.Jr+1.uk,Nick Jr+1,Nickelodeon.uk@SD,nickelodeon,72.0
uk,Crime+Inv+1.uk,Crime+Inv+1,PlutoTVAmericanTrueCrime.de@GB,plutotvamericantruecrime,69.23076923076923
uk,5ACTION.uk,5ACTION,MrBeanLiveAction.uk@SD,mrbeanliveaction,83.07692307692308
uk,Classic.FM.uk,Classic FM,PlutoTVClassicTV.de@GB,plutotvclassictv,70.00000000000001
uk,CITV.uk,CITV,HellenicTV.uk@SD,hellenictv,77.14285714285715
uk,Greatest.Hits.uk,Greatest Hits,XITEHits.nl@UK,xitehits,69.23076923076923
uk,Movies24+.uk,Movies24+,PlutoTVComedyMovies.de@GB,plutotvcomedymovies,77.14285714285715
uk,Channel.44.uk,Channel 44,ChannelS.uk@SD,channels,82.35294117647058
uk,TNT.Sports.Box.Office.uk,TNT Sports Box Office,TBNUK.uk@SD,tbn,72.0
uk,Racing.TV.uk,Racing TV,IonTV.uk@SD,iontv,72.0
uk,TCM.Movies+1.uk,TCM Movies+1,RakutenTVDramaMovies.es@UK,rakutentvdramamovies,74.11764705882352
uk,Cartoonito.uk,Cartoonito,KTO.fr@SD,kto,72.0
uk,mta-muslim.tv.uk,mta-muslim tv,MUTV.uk@SD,mutv,77.14285714285715
uk,Sky.HistoryHD.uk,Sky HistoryHD,SkyMix.uk@HD,skymix,65.45454545454547
uk,92.News.uk,92 News,DunyaNewsUK.uk@SD,dunyanews,72.0
